================================================================================
LOAN CASHFLOW ANALYSIS: DEAL_001
Generated: 2025-08-30 01:43:03
================================================================================
Borrower: Echo Foods Co.
Sector: Consumer Staples | Geography: US
Principal: $600,000,000
Rate Type: fixed
Fixed Rate: 6.25%
Credit Rating: BB-
Default Probability: 3.00%
LTV: 67.5% | DSCR: 1.55x
Prepayment Penalty: 2.00%
Seniority: Senior
Collateral: General Assets

PORTFOLIO METRICS:
IRR (base): 6.88%
IRR (adjusted): 5.50%
MOIC: 1.273x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2025-01-31 | $600,000,000 |    0.062 |    0.000 |    0.062 | $        0 | $-600,000,000 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $-603,050,000
  2025-02-28 | $595,063,694 |    0.062 |    0.000 |    0.062 | $2,876,712 | $ 4,936,306 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 4,763,018
  2025-03-31 | $590,230,785 |    0.062 |    0.000 |    0.062 | $3,158,729 | $ 4,832,909 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 4,941,637
  2025-04-30 | $585,330,397 |    0.062 |    0.000 |    0.062 | $3,032,007 | $ 4,900,388 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 4,882,395
  2025-05-31 | $580,446,393 |    0.062 |    0.000 |    0.062 | $3,107,062 | $ 4,884,004 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 4,941,066
  2025-06-30 | $575,495,174 |    0.062 |    0.000 |    0.062 | $2,981,745 | $ 4,951,218 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 4,882,963
  2025-07-31 | $570,559,536 |    0.062 |    0.000 |    0.062 | $3,054,855 | $ 4,935,639 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 4,940,493
  2025-08-31 | $565,597,698 |    0.062 |    0.000 |    0.062 | $3,028,655 | $ 4,961,838 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 4,940,493
  2025-09-30 | $560,569,060 |    0.062 |    0.000 |    0.062 | $2,905,468 | $ 5,028,638 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 4,884,105
