================================================================================
LOAN CASHFLOW ANALYSIS: PORT_001
Generated: 2025-08-30 01:43:05
================================================================================
Borrower: Zeta Industrials plc
Sector: Industrials | Geography: UK
Principal: $55,000,000
Rate Type: fixed
Fixed Rate: 6.88%
Credit Rating: BB-
Default Probability: 3.50%
LTV: 70.0% | DSCR: 1.40x
Prepayment Penalty: 1.50%
Seniority: Subordinated
Collateral: Machinery

PORTFOLIO METRICS:
IRR (base): 7.56%
IRR (adjusted): 6.05%
MOIC: 1.231x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2023-01-31 | $55,000,000 |    0.069 |    0.000 |    0.069 | $        0 | $-55,000,000 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $-55,289,896
  2023-02-28 | $55,000,000 |    0.069 |    0.000 |    0.069 | $  290,068 | $         0 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $       173
  2023-03-31 | $55,000,000 |    0.069 |    0.000 |    0.069 | $  321,147 | $         0 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $    31,251
  2023-04-30 | $55,000,000 |    0.069 |    0.000 |    0.069 | $  310,788 | $         0 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $    20,892
  2023-05-31 | $54,350,425 |    0.069 |    0.000 |    0.069 | $  321,147 | $   649,575 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,826
  2023-06-30 | $53,692,674 |    0.069 |    0.000 |    0.069 | $  307,117 | $   657,751 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   674,972
  2023-07-31 | $53,035,545 |    0.069 |    0.000 |    0.069 | $  313,514 | $   657,129 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,747
  2023-08-31 | $52,374,579 |    0.069 |    0.000 |    0.069 | $  309,677 | $   660,966 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,747
  2023-09-30 | $51,705,505 |    0.069 |    0.000 |    0.069 | $  295,952 | $   669,074 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   675,130
  2023-10-31 | $51,036,852 |    0.069 |    0.000 |    0.069 | $  301,911 | $   668,653 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,667
  2023-11-30 | $50,360,140 |    0.069 |    0.000 |    0.069 | $  288,393 | $   676,712 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   675,210
  2023-12-31 | $49,683,712 |    0.069 |    0.000 |    0.069 | $  294,055 | $   676,428 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,587
  2024-01-31 | $49,003,334 |    0.069 |    0.000 |    0.069 | $  290,105 | $   680,378 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,587
  2024-02-29 | $48,310,941 |    0.069 |    0.000 |    0.069 | $  267,672 | $   692,392 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   670,169
  2024-03-31 | $47,622,709 |    0.069 |    0.000 |    0.069 | $  282,090 | $   688,232 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,426
  2024-04-30 | $46,926,545 |    0.069 |    0.000 |    0.069 | $  269,101 | $   696,164 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   675,369
  2024-05-31 | $46,230,310 |    0.069 |    0.000 |    0.069 | $  274,006 | $   696,235 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,345
  2024-06-30 | $45,526,198 |    0.069 |    0.000 |    0.069 | $  261,233 | $   704,113 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   675,450
  2024-07-31 | $44,821,867 |    0.069 |    0.000 |    0.069 | $  265,829 | $   704,330 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,264
  2024-08-31 | $44,113,425 |    0.069 |    0.000 |    0.069 | $  261,717 | $   708,443 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,264
  2024-09-30 | $43,397,188 |    0.069 |    0.000 |    0.069 | $  249,271 | $   716,237 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   675,612
  2024-10-31 | $42,680,508 |    0.069 |    0.000 |    0.069 | $  253,398 | $   716,680 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,182
  2024-11-30 | $41,956,092 |    0.069 |    0.000 |    0.069 | $  241,174 | $   724,416 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   675,694
  2024-12-31 | $41,231,080 |    0.069 |    0.000 |    0.069 | $  244,983 | $   725,012 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,100
  2025-01-31 | $40,501,835 |    0.069 |    0.000 |    0.069 | $  240,750 | $   729,246 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   680,100
  2025-02-28 | $39,758,137 |    0.069 |    0.000 |    0.069 | $  213,606 | $   743,698 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   667,408
  2025-03-31 | $39,020,539 |    0.069 |    0.000 |    0.069 | $  232,149 | $   737,598 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   679,851
  2025-04-30 | $38,275,361 |    0.069 |    0.000 |    0.069 | $  220,493 | $   745,178 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   675,775
  2025-05-31 | $37,529,189 |    0.069 |    0.000 |    0.069 | $  223,491 | $   746,173 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   679,768
  2025-06-30 | $36,775,501 |    0.069 |    0.000 |    0.069 | $  212,066 | $   753,688 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   675,858
  2025-07-31 | $36,020,654 |    0.069 |    0.000 |    0.069 | $  214,734 | $   754,847 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   679,685
  2025-08-31 | $35,261,399 |    0.069 |    0.000 |    0.069 | $  210,326 | $   759,255 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   679,685
  2025-09-30 | $34,494,730 |    0.069 |    0.000 |    0.069 | $  199,251 | $   766,669 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   676,024
  2025-10-31 | $33,726,649 |    0.069 |    0.000 |    0.069 | $  201,416 | $   768,081 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   679,601
  2025-11-30 | $32,951,225 |    0.069 |    0.000 |    0.069 | $  190,579 | $   775,425 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   676,108
