================================================================================
LOAN CASHFLOW ANALYSIS: PORT_004
Generated: 2025-08-30 01:43:05
================================================================================
Borrower: Nimbus Retail Group
Sector: Retail (General) | Geography: US
Principal: $60,000,000
Rate Type: fixed
Fixed Rate: 6.75%
Credit Rating: BB-
Default Probability: 5.30%
LTV: 70.0% | DSCR: 1.40x
Prepayment Penalty: 1.50%
Seniority: Senior
Collateral: General Assets

PORTFOLIO METRICS:
IRR (base): 7.43%
IRR (adjusted): 5.94%
MOIC: 1.265x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2023-01-31 | $60,000,000 |    0.068 |    0.000 |    0.068 | $        0 | $-60,000,000 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $-60,352,250
  2023-02-28 | $60,000,000 |    0.068 |    0.000 |    0.068 | $  310,685 | $         0 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   -41,565
  2023-03-31 | $60,000,000 |    0.068 |    0.000 |    0.068 | $  343,973 | $         0 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $    -8,277
  2023-04-30 | $60,000,000 |    0.068 |    0.000 |    0.068 | $  332,877 | $         0 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   -19,373
  2023-05-31 | $59,415,899 |    0.068 |    0.000 |    0.068 | $  343,973 | $   584,101 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,824
  2023-06-30 | $58,823,841 |    0.068 |    0.000 |    0.068 | $  329,636 | $   592,058 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   569,444
  2023-07-31 | $58,233,070 |    0.068 |    0.000 |    0.068 | $  337,230 | $   590,771 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,751
  2023-08-31 | $57,638,912 |    0.068 |    0.000 |    0.068 | $  333,843 | $   594,158 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,751
  2023-09-30 | $57,036,850 |    0.068 |    0.000 |    0.068 | $  319,778 | $   602,061 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   569,589
  2023-10-31 | $56,435,908 |    0.068 |    0.000 |    0.068 | $  326,985 | $   600,943 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,678
  2023-11-30 | $55,827,099 |    0.068 |    0.000 |    0.068 | $  313,103 | $   608,808 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   569,662
  2023-12-31 | $55,219,295 |    0.068 |    0.000 |    0.068 | $  320,050 | $   607,805 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,604
  2024-01-31 | $54,608,006 |    0.068 |    0.000 |    0.068 | $  316,565 | $   611,289 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,604
  2024-02-29 | $53,984,585 |    0.068 |    0.000 |    0.068 | $  292,863 | $   623,420 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   564,034
  2024-03-31 | $53,366,366 |    0.068 |    0.000 |    0.068 | $  309,487 | $   618,219 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,456
  2024-04-30 | $52,740,382 |    0.068 |    0.000 |    0.068 | $  296,074 | $   625,984 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   569,808
  2024-05-31 | $52,115,104 |    0.068 |    0.000 |    0.068 | $  302,354 | $   625,278 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,382
  2024-06-30 | $51,482,104 |    0.068 |    0.000 |    0.068 | $  289,132 | $   633,000 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   569,882
  2024-07-31 | $50,849,687 |    0.068 |    0.000 |    0.068 | $  295,141 | $   632,417 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,307
  2024-08-31 | $50,213,645 |    0.068 |    0.000 |    0.068 | $  291,515 | $   636,042 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,307
  2024-09-30 | $49,569,947 |    0.068 |    0.000 |    0.068 | $  278,583 | $   643,698 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   570,031
  2024-10-31 | $48,926,643 |    0.068 |    0.000 |    0.068 | $  284,178 | $   643,304 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,232
  2024-11-30 | $48,275,730 |    0.068 |    0.000 |    0.068 | $  271,442 | $   650,913 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   570,105
  2024-12-31 | $47,625,081 |    0.068 |    0.000 |    0.068 | $  276,759 | $   650,648 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,157
  2025-01-31 | $46,970,703 |    0.068 |    0.000 |    0.068 | $  273,029 | $   654,378 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   575,157
  2025-02-28 | $46,301,171 |    0.068 |    0.000 |    0.068 | $  243,218 | $   669,532 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   560,500
  2025-03-31 | $45,639,431 |    0.068 |    0.000 |    0.068 | $  265,439 | $   661,740 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,929
  2025-04-30 | $44,970,207 |    0.068 |    0.000 |    0.068 | $  253,205 | $   669,224 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   570,179
  2025-05-31 | $44,300,913 |    0.068 |    0.000 |    0.068 | $  257,809 | $   669,294 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,853
  2025-06-30 | $43,624,187 |    0.068 |    0.000 |    0.068 | $  245,779 | $   676,726 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   570,255
  2025-07-31 | $42,947,253 |    0.068 |    0.000 |    0.068 | $  250,092 | $   676,934 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,776
  2025-08-31 | $42,266,438 |    0.068 |    0.000 |    0.068 | $  246,211 | $   680,815 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,776
  2025-09-30 | $41,578,272 |    0.068 |    0.000 |    0.068 | $  234,492 | $   688,166 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   570,408
  2025-10-31 | $40,889,685 |    0.068 |    0.000 |    0.068 | $  238,363 | $   688,586 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,699
  2025-11-30 | $40,193,805 |    0.068 |    0.000 |    0.068 | $  226,854 | $   695,881 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   570,484
  2025-12-31 | $39,497,358 |    0.068 |    0.000 |    0.068 | $  230,426 | $   696,446 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,622
  2026-01-31 | $38,796,920 |    0.068 |    0.000 |    0.068 | $  226,433 | $   700,439 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,622
  2026-02-28 | $38,082,861 |    0.068 |    0.000 |    0.068 | $  200,894 | $   714,059 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   562,703
  2026-03-31 | $37,374,546 |    0.068 |    0.000 |    0.068 | $  218,324 | $   708,314 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,389
  2026-04-30 | $36,659,088 |    0.068 |    0.000 |    0.068 | $  207,352 | $   715,459 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   570,561
  2026-05-31 | $35,942,689 |    0.068 |    0.000 |    0.068 | $  210,162 | $   716,399 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,311
  2026-06-30 | $35,219,209 |    0.068 |    0.000 |    0.068 | $  199,408 | $   723,480 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   570,638
  2026-07-31 | $34,494,634 |    0.068 |    0.000 |    0.068 | $  201,907 | $   724,575 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,232
  2026-08-31 | $33,765,905 |    0.068 |    0.000 |    0.068 | $  197,753 | $   728,729 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,232
  2026-09-30 | $33,030,191 |    0.068 |    0.000 |    0.068 | $  187,331 | $   735,713 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   570,795
  2026-10-31 | $32,293,146 |    0.068 |    0.000 |    0.068 | $  189,358 | $   737,046 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,154
  2026-11-30 | $31,549,183 |    0.068 |    0.000 |    0.068 | $  179,161 | $   743,963 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   570,873
  2026-12-31 | $30,803,726 |    0.068 |    0.000 |    0.068 | $  180,868 | $   745,457 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,075
  2027-01-31 | $30,053,995 |    0.068 |    0.000 |    0.068 | $  176,594 | $   749,731 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   574,075
  2027-02-28 | $29,292,404 |    0.068 |    0.000 |    0.068 | $  155,622 | $   761,592 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   564,964
  2027-03-31 | $28,534,248 |    0.068 |    0.000 |    0.068 | $  167,930 | $   758,156 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,835
  2027-04-30 | $27,769,353 |    0.068 |    0.000 |    0.068 | $  158,306 | $   764,895 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   570,952
  2027-05-31 | $27,002,545 |    0.068 |    0.000 |    0.068 | $  159,198 | $   766,807 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,756
  2027-06-30 | $26,229,072 |    0.068 |    0.000 |    0.068 | $  149,809 | $   773,473 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   571,032
  2027-07-31 | $25,453,515 |    0.068 |    0.000 |    0.068 | $  150,368 | $   775,557 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,676
  2027-08-31 | $24,673,511 |    0.068 |    0.000 |    0.068 | $  145,922 | $   780,004 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,676
  2027-09-30 | $23,886,957 |    0.068 |    0.000 |    0.068 | $  136,887 | $   786,555 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   571,192
  2027-10-31 | $23,098,053 |    0.068 |    0.000 |    0.068 | $  136,941 | $   788,904 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,595
  2027-11-30 | $22,302,677 |    0.068 |    0.000 |    0.068 | $  128,147 | $   795,376 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   571,272
  2027-12-31 | $21,504,772 |    0.068 |    0.000 |    0.068 | $  127,858 | $   797,906 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,514
  2028-01-31 | $20,702,292 |    0.068 |    0.000 |    0.068 | $  123,284 | $   802,480 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,514
  2028-02-29 | $19,891,711 |    0.068 |    0.000 |    0.068 | $  111,027 | $   810,581 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   569,357
  2028-03-31 | $19,080,147 |    0.068 |    0.000 |    0.068 | $  114,037 | $   811,564 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,351
  2028-04-30 | $18,262,318 |    0.068 |    0.000 |    0.068 | $  105,856 | $   817,829 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   571,434
  2028-05-31 | $17,441,494 |    0.068 |    0.000 |    0.068 | $  104,696 | $   820,824 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,270
  2028-06-30 | $16,614,493 |    0.068 |    0.000 |    0.068 | $   96,764 | $   827,001 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   571,516
  2028-07-31 | $15,784,304 |    0.068 |    0.000 |    0.068 | $   95,249 | $   830,189 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,188
  2028-08-31 | $14,949,356 |    0.068 |    0.000 |    0.068 | $   90,489 | $   834,948 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,188
  2028-09-30 | $14,108,364 |    0.068 |    0.000 |    0.068 | $   82,938 | $   840,992 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   571,680
  2028-10-31 | $13,263,891 |    0.068 |    0.000 |    0.068 | $   80,882 | $   844,474 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,105
  2028-11-30 | $12,413,466 |    0.068 |    0.000 |    0.068 | $   73,587 | $   850,425 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   571,763
  2028-12-31 | $11,559,358 |    0.068 |    0.000 |    0.068 | $   71,165 | $   854,107 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,022
  2029-01-31 | $10,700,354 |    0.068 |    0.000 |    0.068 | $   66,268 | $   859,004 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   573,022
  2029-02-28 | $ 9,833,769 |    0.068 |    0.000 |    0.068 | $   55,407 | $   866,585 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   569,743
  2029-03-31 | $ 8,965,122 |    0.068 |    0.000 |    0.068 | $   56,376 | $   868,647 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   572,772
  2029-04-30 | $ 8,090,765 |    0.068 |    0.000 |    0.068 | $   49,738 | $   874,357 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   571,845
  2029-05-31 | $ 7,212,210 |    0.068 |    0.000 |    0.068 | $   46,383 | $   878,555 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   572,689
  2029-06-30 | $ 6,328,044 |    0.068 |    0.000 |    0.068 | $   40,013 | $   884,166 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   571,929
  2029-07-31 | $ 5,439,467 |    0.068 |    0.000 |    0.068 | $   36,278 | $   888,577 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   572,605
  2029-08-31 | $ 4,545,796 |    0.068 |    0.000 |    0.068 | $   31,184 | $   893,671 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   572,605
  2029-09-30 | $ 3,646,669 |    0.068 |    0.000 |    0.068 | $   25,220 | $   899,127 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   572,097
  2029-10-31 | $ 2,742,804 |    0.068 |    0.000 |    0.068 | $   20,906 | $   903,865 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   572,521
  2029-11-30 | $ 1,833,589 |    0.068 |    0.000 |    0.068 | $   15,217 | $   909,214 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   572,181
  2029-12-31 | $   919,415 |    0.068 |    0.000 |    0.068 | $   10,512 | $   914,174 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   572,436
  2030-01-31 | $         0 |    0.068 |    0.000 |    0.068 | $    5,271 | $   919,415 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   572,436
========================================================================================================================
Scenario: BASE - Base case scenario with current market rates
========================================================================================================================
