================================================================================
LOAN CASHFLOW ANALYSIS: DEAL_001
Generated: 2025-08-30 01:43:03
================================================================================
Borrower: Echo Foods Co.
Sector: Consumer Staples | Geography: US
Principal: $600,000,000
Rate Type: fixed
Fixed Rate: 6.25%
Credit Rating: BB-
Default Probability: 3.00%
LTV: 67.5% | DSCR: 1.55x
Prepayment Penalty: 2.00%
Seniority: Senior
Collateral: General Assets

PORTFOLIO METRICS:
IRR (base): 6.88%
IRR (adjusted): 5.50%
MOIC: 1.339x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2025-01-31 | $600,000,000 |    0.058 |    0.000 |    0.058 | $  750,000 | $-600,000,000 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $-602,300,000
  2025-02-28 | $595,063,694 |    0.058 |    0.000 |    0.058 | $3,620,542 | $ 4,936,306 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,506,848
  2025-03-31 | $590,230,785 |    0.058 |    0.000 |    0.058 | $3,896,517 | $ 4,832,909 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,679,426
  2025-04-30 | $585,330,397 |    0.058 |    0.000 |    0.058 | $3,763,670 | $ 4,900,388 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,614,058
  2025-05-31 | $580,446,393 |    0.058 |    0.000 |    0.058 | $3,832,620 | $ 4,884,004 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,666,624
  2025-06-30 | $575,495,174 |    0.058 |    0.000 |    0.058 | $3,701,114 | $ 4,951,218 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,602,332
  2025-07-31 | $570,559,536 |    0.058 |    0.000 |    0.058 | $3,768,054 | $ 4,935,639 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,653,693
  2025-08-31 | $565,597,698 |    0.058 |    0.000 |    0.058 | $3,735,652 | $ 4,961,838 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,647,490
  2025-09-30 | $560,569,060 |    0.058 |    0.000 |    0.058 | $3,606,179 | $ 5,028,638 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,584,817
  2025-10-31 | $555,554,767 |    0.058 |    0.000 |    0.058 | $3,670,067 | $ 5,014,293 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,634,360
  2025-11-30 | $550,473,965 |    0.058 |    0.000 |    0.058 | $3,541,970 | $ 5,080,802 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,572,771
  2025-12-31 | $545,406,664 |    0.058 |    0.000 |    0.058 | $3,603,795 | $ 5,067,301 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,621,096
  2026-01-31 | $540,312,465 |    0.058 |    0.000 |    0.058 | $3,570,529 | $ 5,094,199 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,614,728
  2026-02-28 | $535,073,533 |    0.058 |    0.000 |    0.058 | $3,259,381 | $ 5,238,932 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,448,313
  2026-03-31 | $529,926,240 |    0.058 |    0.000 |    0.058 | $3,502,695 | $ 5,147,293 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,599,988
  2026-04-30 | $524,713,218 |    0.058 |    0.000 |    0.058 | $3,378,115 | $ 5,213,022 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,541,137
  2026-05-31 | $519,511,515 |    0.058 |    0.000 |    0.058 | $3,434,682 | $ 5,201,703 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,586,385
  2026-06-30 | $514,244,411 |    0.058 |    0.000 |    0.058 | $3,311,529 | $ 5,267,104 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,528,633
  2026-07-31 | $508,987,724 |    0.058 |    0.000 |    0.058 | $3,365,957 | $ 5,256,687 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,572,644
  2026-08-31 | $503,703,133 |    0.058 |    0.000 |    0.058 | $3,331,447 | $ 5,284,591 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,566,038
  2026-09-30 | $498,353,652 |    0.058 |    0.000 |    0.058 | $3,210,458 | $ 5,349,481 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,509,939
  2026-10-31 | $493,013,204 |    0.058 |    0.000 |    0.058 | $3,261,637 | $ 5,340,448 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,552,085
  2026-11-30 | $487,608,221 |    0.058 |    0.000 |    0.058 | $3,142,112 | $ 5,404,983 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,497,095
  2026-12-31 | $482,211,326 |    0.058 |    0.000 |    0.058 | $3,191,095 | $ 5,396,895 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,537,990
  2027-01-31 | $476,785,783 |    0.058 |    0.000 |    0.058 | $3,155,666 | $ 5,425,543 | $2,500,000 | $   50,000 | $ 1,500,000 | $  900,000 | $ 5,531,208
