================================================================================
LOAN CASHFLOW ANALYSIS: PORT_002
Generated: 2025-08-30 01:43:05
================================================================================
Borrower: Kilo Retail Group
Sector: Retail (Apparel) | Geography: US
Principal: $45,000,000
Rate Type: fixed
Fixed Rate: 7.12%
Credit Rating: BB-
Default Probability: 5.30%
LTV: 70.0% | DSCR: 1.40x
Prepayment Penalty: 1.50%
Seniority: Senior
Collateral: General Assets

PORTFOLIO METRICS:
IRR (base): 7.84%
IRR (adjusted): 6.27%
MOIC: 1.376x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2023-01-31 | $45,000,000 |    0.066 |    0.000 |    0.066 | $   45,000 | $-45,000,000 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $-45,219,188
  2023-02-28 | $45,000,000 |    0.066 |    0.000 |    0.066 | $  290,959 | $         0 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $    26,771
  2023-03-31 | $45,000,000 |    0.066 |    0.000 |    0.066 | $  317,312 | $         0 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $    53,124
  2023-04-30 | $45,000,000 |    0.066 |    0.000 |    0.066 | $  308,527 | $         0 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $    44,340
  2023-05-31 | $44,638,156 |    0.066 |    0.000 |    0.066 | $  316,950 | $   361,844 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   414,606
  2023-06-30 | $44,270,597 |    0.066 |    0.000 |    0.066 | $  305,679 | $   367,559 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   409,050
  2023-07-31 | $43,904,390 |    0.066 |    0.000 |    0.066 | $  311,802 | $   366,207 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   413,822
  2023-08-31 | $43,535,967 |    0.066 |    0.000 |    0.066 | $  309,218 | $   368,423 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   413,453
  2023-09-30 | $43,161,853 |    0.066 |    0.000 |    0.066 | $  298,116 | $   374,114 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   408,042
  2023-10-31 | $42,788,987 |    0.066 |    0.000 |    0.066 | $  303,977 | $   372,866 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   412,656
  2023-11-30 | $42,410,448 |    0.066 |    0.000 |    0.066 | $  292,990 | $   378,539 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   407,341
  2023-12-31 | $42,033,086 |    0.066 |    0.000 |    0.066 | $  298,674 | $   377,362 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   411,849
  2024-01-31 | $41,653,441 |    0.066 |    0.000 |    0.066 | $  296,011 | $   379,645 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   411,469
  2024-02-29 | $41,264,781 |    0.066 |    0.000 |    0.066 | $  277,063 | $   388,660 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   401,536
  2024-03-31 | $40,880,589 |    0.066 |    0.000 |    0.066 | $  290,589 | $   384,191 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   410,593
  2024-04-30 | $40,490,773 |    0.066 |    0.000 |    0.066 | $  279,894 | $   389,816 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   405,523
