================================================================================
LOAN CASHFLOW ANALYSIS: DEAL_002
Generated: 2025-09-03 01:37:30
================================================================================
Borrower: Charlie Energy Partners LP
Sector: Energy (Midstream) | Geography: US
Principal: $750,000,000
Rate Type: fixed
Fixed Rate: 7.25%
Credit Rating: BB-
Default Probability: 4.00%
LTV: 69.0% | DSCR: 1.54x
Prepayment Penalty: 2.00%
Seniority: Senior
Collateral: Oil&Gas Assets

PORTFOLIO METRICS:
IRR (base): 7.98%
IRR (adjusted): 6.38%
MOIC: 1.364x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2025-01-31 | $750,000,000 |    0.072 |    0.000 |    0.072 | $        0 | $-750,000,000 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $-754,062,500
  2025-02-28 | $744,914,901 |    0.072 |    0.000 |    0.072 | $4,171,233 | $ 5,085,099 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,193,831
  2025-03-31 | $739,975,808 |    0.072 |    0.000 |    0.072 | $4,586,839 | $ 4,939,094 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,463,433
  2025-04-30 | $734,948,952 |    0.072 |    0.000 |    0.072 | $4,409,445 | $ 5,026,856 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,373,801
  2025-05-31 | $729,949,236 |    0.072 |    0.000 |    0.072 | $4,525,473 | $ 4,999,716 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,462,689
  2025-06-30 | $724,861,894 |    0.072 |    0.000 |    0.072 | $4,349,698 | $ 5,087,341 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,374,539
  2025-07-31 | $719,800,814 |    0.072 |    0.000 |    0.072 | $4,463,362 | $ 5,061,081 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,461,943
  2025-08-31 | $714,708,569 |    0.072 |    0.000 |    0.072 | $4,432,198 | $ 5,092,244 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,461,943
  2025-09-30 | $709,528,925 |    0.072 |    0.000 |    0.072 | $4,258,880 | $ 5,179,644 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,376,024
  2025-10-31 | $704,374,183 |    0.072 |    0.000 |    0.072 | $4,368,949 | $ 5,154,742 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,461,190
  2025-11-30 | $699,132,210 |    0.072 |    0.000 |    0.072 | $4,197,298 | $ 5,241,973 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,376,772
  2025-12-31 | $693,914,206 |    0.072 |    0.000 |    0.072 | $4,304,931 | $ 5,218,004 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,460,434
  2026-01-31 | $688,664,072 |    0.072 |    0.000 |    0.072 | $4,272,800 | $ 5,250,134 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,460,434
  2026-02-28 | $683,216,466 |    0.072 |    0.000 |    0.072 | $3,830,104 | $ 5,447,606 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,215,210
  2026-03-31 | $677,902,762 |    0.072 |    0.000 |    0.072 | $4,206,929 | $ 5,313,704 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,458,133
  2026-04-30 | $672,502,314 |    0.072 |    0.000 |    0.072 | $4,039,558 | $ 5,400,448 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,377,505
