================================================================================
LOAN CASHFLOW ANALYSIS: PORT_002
Generated: 2025-09-03 01:37:32
================================================================================
Borrower: Kilo Retail Group
Sector: Retail (Apparel) | Geography: US
Principal: $45,000,000
Rate Type: fixed
Fixed Rate: 7.12%
Credit Rating: BB-
Default Probability: 5.30%
LTV: 70.0% | DSCR: 1.40x
Prepayment Penalty: 1.50%
Seniority: Senior
Collateral: General Assets

PORTFOLIO METRICS:
IRR (base): 7.84%
IRR (adjusted): 6.27%
MOIC: 1.322x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2023-01-31 | $45,000,000 |    0.071 |    0.000 |    0.071 | $        0 | $-45,000,000 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $-45,264,188
  2023-02-28 | $45,000,000 |    0.071 |    0.000 |    0.071 | $  245,959 | $         0 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   -18,229
  2023-03-31 | $45,000,000 |    0.071 |    0.000 |    0.071 | $  272,312 | $         0 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $     8,124
  2023-04-30 | $45,000,000 |    0.071 |    0.000 |    0.071 | $  263,527 | $         0 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $      -660
  2023-05-31 | $44,638,156 |    0.071 |    0.000 |    0.071 | $  272,312 | $   361,844 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,968
  2023-06-30 | $44,270,597 |    0.071 |    0.000 |    0.071 | $  261,408 | $   367,559 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   364,780
  2023-07-31 | $43,904,390 |    0.071 |    0.000 |    0.071 | $  267,898 | $   366,207 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,917
  2023-08-31 | $43,535,967 |    0.071 |    0.000 |    0.071 | $  265,682 | $   368,423 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,917
  2023-09-30 | $43,161,853 |    0.071 |    0.000 |    0.071 | $  254,954 | $   374,114 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   364,880
  2023-10-31 | $42,788,987 |    0.071 |    0.000 |    0.071 | $  261,188 | $   372,866 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,867
  2023-11-30 | $42,410,448 |    0.071 |    0.000 |    0.071 | $  250,579 | $   378,539 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   364,931
  2023-12-31 | $42,033,086 |    0.071 |    0.000 |    0.071 | $  256,641 | $   377,362 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,816
  2024-01-31 | $41,653,441 |    0.071 |    0.000 |    0.071 | $  254,358 | $   379,645 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,816
  2024-02-29 | $41,264,781 |    0.071 |    0.000 |    0.071 | $  235,798 | $   388,660 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   360,271
  2024-03-31 | $40,880,589 |    0.071 |    0.000 |    0.071 | $  249,708 | $   384,191 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,712
  2024-04-30 | $40,490,773 |    0.071 |    0.000 |    0.071 | $  239,403 | $   389,816 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   365,032
  2024-05-31 | $40,101,950 |    0.071 |    0.000 |    0.071 | $  245,025 | $   388,824 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,661
  2024-06-30 | $39,707,522 |    0.071 |    0.000 |    0.071 | $  234,844 | $   394,428 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   365,084
  2024-07-31 | $39,314,010 |    0.071 |    0.000 |    0.071 | $  240,285 | $   393,511 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,609
  2024-08-31 | $38,918,118 |    0.071 |    0.000 |    0.071 | $  237,904 | $   395,893 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,609
  2024-09-30 | $38,516,654 |    0.071 |    0.000 |    0.071 | $  227,911 | $   401,464 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   365,187
  2024-10-31 | $38,115,988 |    0.071 |    0.000 |    0.071 | $  233,079 | $   400,666 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,557
  2024-11-30 | $37,709,775 |    0.071 |    0.000 |    0.071 | $  223,213 | $   406,213 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   365,239
  2024-12-31 | $37,304,280 |    0.071 |    0.000 |    0.071 | $  228,196 | $   405,496 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,504
  2025-01-31 | $36,896,330 |    0.071 |    0.000 |    0.071 | $  225,742 | $   407,950 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,504
  2025-02-28 | $36,476,736 |    0.071 |    0.000 |    0.071 | $  201,666 | $   419,594 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   357,073
  2025-03-31 | $36,063,938 |    0.071 |    0.000 |    0.071 | $  220,734 | $   412,798 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,345
  2025-04-30 | $35,645,657 |    0.071 |    0.000 |    0.071 | $  211,196 | $   418,282 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   365,291
  2025-05-31 | $35,227,882 |    0.071 |    0.000 |    0.071 | $  215,705 | $   417,774 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,292
  2025-06-30 | $34,804,652 |    0.071 |    0.000 |    0.071 | $  206,300 | $   423,231 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   365,343
  2025-07-31 | $34,381,842 |    0.071 |    0.000 |    0.071 | $  210,616 | $   422,810 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,238
  2025-08-31 | $33,956,473 |    0.071 |    0.000 |    0.071 | $  208,057 | $   425,369 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,238
  2025-09-30 | $33,525,691 |    0.071 |    0.000 |    0.071 | $  198,855 | $   430,782 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   365,450
  2025-10-31 | $33,095,195 |    0.071 |    0.000 |    0.071 | $  202,876 | $   430,496 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,185
  2025-11-30 | $32,659,315 |    0.071 |    0.000 |    0.071 | $  193,811 | $   435,880 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   365,503
  2025-12-31 | $32,223,630 |    0.071 |    0.000 |    0.071 | $  197,634 | $   435,685 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,131
  2026-01-31 | $31,785,309 |    0.071 |    0.000 |    0.071 | $  194,997 | $   438,321 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   369,131
  2026-02-28 | $31,336,246 |    0.071 |    0.000 |    0.071 | $  173,731 | $   449,063 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   358,606
  2026-03-31 | $30,892,719 |    0.071 |    0.000 |    0.071 | $  189,627 | $   443,528 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   368,967
  2026-04-30 | $30,443,888 |    0.071 |    0.000 |    0.071 | $  180,913 | $   448,831 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   365,556
  2026-05-31 | $29,995,015 |    0.071 |    0.000 |    0.071 | $  184,227 | $   448,873 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   368,913
  2026-06-30 | $29,540,873 |    0.071 |    0.000 |    0.071 | $  175,656 | $   454,142 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   365,610
  2026-07-31 | $29,086,590 |    0.071 |    0.000 |    0.071 | $  178,763 | $   454,283 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   368,858
  2026-08-31 | $28,629,558 |    0.071 |    0.000 |    0.071 | $  176,014 | $   457,032 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   368,858
  2026-09-30 | $28,167,310 |    0.071 |    0.000 |    0.071 | $  167,659 | $   462,248 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   365,720
  2026-10-31 | $27,704,770 |    0.071 |    0.000 |    0.071 | $  170,451 | $   462,540 | $  187,500 | $    2,812 | $   198,750 | $  119,250 | $   368,803
