================================================================================
LOAN CASHFLOW ANALYSIS: DEAL_002
Generated: 2025-09-03 01:37:30
================================================================================
Borrower: Charlie Energy Partners LP
Sector: Energy (Midstream) | Geography: US
Principal: $750,000,000
Rate Type: fixed
Fixed Rate: 7.25%
Credit Rating: BB-
Default Probability: 4.00%
LTV: 69.0% | DSCR: 1.54x
Prepayment Penalty: 2.00%
Seniority: Senior
Collateral: Oil&Gas Assets

PORTFOLIO METRICS:
IRR (base): 7.98%
IRR (adjusted): 6.38%
MOIC: 1.425x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2025-01-31 | $750,000,000 |    0.067 |    0.000 |    0.067 | $  750,000 | $-750,000,000 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $-753,312,500
  2025-02-28 | $744,914,901 |    0.067 |    0.000 |    0.067 | $4,916,148 | $ 5,085,099 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,938,746
  2025-03-31 | $739,975,808 |    0.067 |    0.000 |    0.067 | $5,326,815 | $ 4,939,094 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,203,409
  2025-04-30 | $734,948,952 |    0.067 |    0.000 |    0.067 | $5,144,394 | $ 5,026,856 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,108,750
  2025-05-31 | $729,949,236 |    0.067 |    0.000 |    0.067 | $5,255,423 | $ 4,999,716 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,192,639
  2025-06-30 | $724,861,894 |    0.067 |    0.000 |    0.067 | $5,074,559 | $ 5,087,341 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,099,401
  2025-07-31 | $719,800,814 |    0.067 |    0.000 |    0.067 | $5,183,163 | $ 5,061,081 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,181,743
  2025-08-31 | $714,708,569 |    0.067 |    0.000 |    0.067 | $5,146,907 | $ 5,092,244 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,176,651
  2025-09-30 | $709,528,925 |    0.067 |    0.000 |    0.067 | $4,968,409 | $ 5,179,644 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,085,553
  2025-10-31 | $704,374,183 |    0.067 |    0.000 |    0.067 | $5,073,323 | $ 5,154,742 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,165,565
  2025-11-30 | $699,132,210 |    0.067 |    0.000 |    0.067 | $4,896,430 | $ 5,241,973 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,075,904
  2025-12-31 | $693,914,206 |    0.067 |    0.000 |    0.067 | $4,998,845 | $ 5,218,004 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,154,349
  2026-01-31 | $688,664,072 |    0.067 |    0.000 |    0.067 | $4,961,465 | $ 5,250,134 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,149,099
  2026-02-28 | $683,216,466 |    0.067 |    0.000 |    0.067 | $4,513,321 | $ 5,447,606 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,898,426
  2026-03-31 | $677,902,762 |    0.067 |    0.000 |    0.067 | $4,884,832 | $ 5,313,704 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,136,036
  2026-04-30 | $672,502,314 |    0.067 |    0.000 |    0.067 | $4,712,060 | $ 5,400,448 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,050,007
  2026-05-31 | $667,123,402 |    0.067 |    0.000 |    0.067 | $4,808,079 | $ 5,378,912 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,124,492
  2026-06-30 | $661,657,961 |    0.067 |    0.000 |    0.067 | $4,636,982 | $ 5,465,441 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,039,923
  2026-07-31 | $656,213,042 |    0.067 |    0.000 |    0.067 | $4,730,395 | $ 5,444,919 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,112,813
  2026-08-31 | $650,734,597 |    0.067 |    0.000 |    0.067 | $4,691,389 | $ 5,478,446 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,107,335
  2026-09-30 | $645,169,967 |    0.067 |    0.000 |    0.067 | $4,522,835 | $ 5,564,630 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,024,965
  2026-10-31 | $639,624,297 |    0.067 |    0.000 |    0.067 | $4,612,280 | $ 5,545,670 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,095,451
  2026-11-30 | $633,992,692 |    0.067 |    0.000 |    0.067 | $4,445,453 | $ 5,631,605 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,014,557
  2026-12-31 | $628,378,975 |    0.067 |    0.000 |    0.067 | $4,532,211 | $ 5,613,717 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,083,428
  2027-01-31 | $622,730,691 |    0.067 |    0.000 |    0.067 | $4,491,996 | $ 5,648,284 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,077,780
  2027-02-28 | $616,894,359 |    0.067 |    0.000 |    0.067 | $4,080,301 | $ 5,836,332 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,854,133
  2027-03-31 | $611,177,723 |    0.067 |    0.000 |    0.067 | $4,409,726 | $ 5,716,637 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,063,862
  2027-04-30 | $605,375,850 |    0.067 |    0.000 |    0.067 | $4,247,325 | $ 5,801,873 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,986,698
  2027-05-31 | $599,589,074 |    0.067 |    0.000 |    0.067 | $4,327,212 | $ 5,786,776 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,051,487
  2027-06-30 | $593,717,363 |    0.067 |    0.000 |    0.067 | $4,166,611 | $ 5,871,711 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,975,822
  2027-07-31 | $587,859,590 |    0.067 |    0.000 |    0.067 | $4,243,695 | $ 5,857,773 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,038,968
  2027-08-31 | $581,965,747 |    0.067 |    0.000 |    0.067 | $4,201,731 | $ 5,893,843 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,033,074
  2027-09-30 | $575,987,447 |    0.067 |    0.000 |    0.067 | $4,043,866 | $ 5,978,301 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,959,666
  2027-10-31 | $570,021,296 |    0.067 |    0.000 |    0.067 | $4,116,684 | $ 5,966,150 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,020,334
  2027-11-30 | $563,971,028 |    0.067 |    0.000 |    0.067 | $3,960,673 | $ 6,050,268 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,948,441
  2027-12-31 | $557,931,685 |    0.067 |    0.000 |    0.067 | $4,030,603 | $ 6,039,343 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,007,445
  2028-01-31 | $551,855,155 |    0.067 |    0.000 |    0.067 | $3,987,339 | $ 6,076,530 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 6,001,369
  2028-02-29 | $545,648,625 |    0.067 |    0.000 |    0.067 | $3,724,486 | $ 6,206,530 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,868,516
  2028-03-31 | $539,498,075 |    0.067 |    0.000 |    0.067 | $3,899,348 | $ 6,150,550 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,987,398
  2028-04-30 | $533,264,331 |    0.067 |    0.000 |    0.067 | $3,748,082 | $ 6,233,743 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,919,325
  2028-05-31 | $527,038,333 |    0.067 |    0.000 |    0.067 | $3,810,632 | $ 6,225,998 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,974,130
  2028-06-30 | $520,729,538 |    0.067 |    0.000 |    0.067 | $3,661,300 | $ 6,308,795 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,907,595
  2028-07-31 | $514,427,168 |    0.067 |    0.000 |    0.067 | $3,720,837 | $ 6,302,370 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,960,707
  2028-08-31 | $508,085,991 |    0.067 |    0.000 |    0.067 | $3,675,689 | $ 6,341,177 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,954,366
  2028-09-30 | $501,662,642 |    0.067 |    0.000 |    0.067 | $3,529,298 | $ 6,423,349 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,890,147
  2028-10-31 | $495,243,685 |    0.067 |    0.000 |    0.067 | $3,584,249 | $ 6,418,958 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,940,706
  2028-11-30 | $488,742,995 |    0.067 |    0.000 |    0.067 | $3,439,853 | $ 6,500,689 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,878,042
  2028-12-31 | $482,245,305 |    0.067 |    0.000 |    0.067 | $3,491,697 | $ 6,497,690 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,926,887
  2029-01-31 | $475,707,606 |    0.067 |    0.000 |    0.067 | $3,445,150 | $ 6,537,700 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,920,349
  2029-02-28 | $469,006,743 |    0.067 |    0.000 |    0.067 | $3,114,723 | $ 6,700,863 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,753,086
  2029-03-31 | $462,390,017 |    0.067 |    0.000 |    0.067 | $3,350,315 | $ 6,616,726 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,904,541
  2029-04-30 | $455,692,749 |    0.067 |    0.000 |    0.067 | $3,211,031 | $ 6,697,268 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,845,799
  2029-05-31 | $448,994,872 |    0.067 |    0.000 |    0.067 | $3,254,939 | $ 6,697,877 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,890,316
  2029-06-30 | $442,216,956 |    0.067 |    0.000 |    0.067 | $3,117,734 | $ 6,777,916 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,833,150
  2029-07-31 | $435,436,935 |    0.067 |    0.000 |    0.067 | $3,158,403 | $ 6,780,021 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,875,924
  2029-08-31 | $428,615,166 |    0.067 |    0.000 |    0.067 | $3,109,833 | $ 6,821,769 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,869,102
  2029-09-30 | $421,714,145 |    0.067 |    0.000 |    0.067 | $2,975,791 | $ 6,901,021 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,814,312
  2029-10-31 | $414,808,716 |    0.067 |    0.000 |    0.067 | $3,011,528 | $ 6,905,429 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,854,457
  2029-11-30 | $407,824,587 |    0.067 |    0.000 |    0.067 | $2,879,630 | $ 6,984,129 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,801,259
  2029-12-31 | $400,834,476 |    0.067 |    0.000 |    0.067 | $2,912,028 | $ 6,990,111 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,839,639
  2030-01-31 | $393,801,323 |    0.067 |    0.000 |    0.067 | $2,861,953 | $ 7,033,153 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,832,606
  2030-02-28 | $386,620,895 |    0.067 |    0.000 |    0.067 | $2,576,804 | $ 7,180,428 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,694,732
  2030-03-31 | $379,502,776 |    0.067 |    0.000 |    0.067 | $2,760,134 | $ 7,118,119 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,815,753
  2030-04-30 | $372,307,430 |    0.067 |    0.000 |    0.067 | $2,633,728 | $ 7,195,345 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,766,574
  2030-05-31 | $365,102,028 |    0.067 |    0.000 |    0.067 | $2,657,598 | $ 7,205,403 | $3,125,000 | $   62,500 | $ 2,500,000 | $1,500,000 | $ 5,800,501
