================================================================================
LOAN CASHFLOW ANALYSIS: PORT_005
Generated: 2025-09-03 01:37:32
================================================================================
Borrower: Titan Mining SA
Sector: Materials | Geography: US
Principal: $75,000,000
Rate Type: fixed
Fixed Rate: 6.25%
Credit Rating: BB-
Default Probability: 3.50%
LTV: 70.0% | DSCR: 1.40x
Prepayment Penalty: 1.50%
Seniority: Senior
Collateral: Unsecured

PORTFOLIO METRICS:
IRR (base): 6.88%
IRR (adjusted): 5.50%
MOIC: 1.334x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2023-01-31 | $75,000,000 |    0.058 |    0.000 |    0.058 | $   75,000 | $-75,000,000 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $-75,320,312
  2023-02-28 | $75,000,000 |    0.058 |    0.000 |    0.058 | $  434,589 | $         0 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $    39,277
  2023-03-31 | $75,000,000 |    0.058 |    0.000 |    0.058 | $  473,116 | $         0 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $    77,804
  2023-04-30 | $75,000,000 |    0.058 |    0.000 |    0.058 | $  460,274 | $         0 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $    64,961
  2023-05-31 | $74,374,199 |    0.058 |    0.000 |    0.058 | $  472,491 | $   625,801 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   702,979
  2023-06-30 | $73,739,786 |    0.058 |    0.000 |    0.058 | $  455,799 | $   634,413 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   694,900
  2023-07-31 | $73,107,369 |    0.058 |    0.000 |    0.058 | $  464,534 | $   632,417 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   701,639
  2023-08-31 | $72,471,595 |    0.058 |    0.000 |    0.058 | $  460,542 | $   635,774 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   701,003
  2023-09-30 | $71,827,262 |    0.058 |    0.000 |    0.058 | $  444,113 | $   644,333 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   693,134
  2023-10-31 | $71,184,766 |    0.058 |    0.000 |    0.058 | $  452,460 | $   642,495 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   699,642
  2023-11-30 | $70,533,749 |    0.058 |    0.000 |    0.058 | $  436,209 | $   651,017 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   691,914
  2023-12-31 | $69,884,462 |    0.058 |    0.000 |    0.058 | $  444,293 | $   649,287 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   698,268
  2024-01-31 | $69,231,728 |    0.058 |    0.000 |    0.058 | $  440,194 | $   652,734 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   697,615
  2024-02-29 | $68,565,504 |    0.058 |    0.000 |    0.058 | $  412,353 | $   666,224 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   683,265
  2024-03-31 | $67,905,918 |    0.058 |    0.000 |    0.058 | $  431,867 | $   659,585 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   696,140
  2024-04-30 | $67,237,910 |    0.058 |    0.000 |    0.058 | $  416,070 | $   668,008 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   688,765
  2024-05-31 | $66,571,352 |    0.058 |    0.000 |    0.058 | $  423,485 | $   666,558 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   694,730
  2024-06-30 | $65,896,414 |    0.058 |    0.000 |    0.058 | $  407,873 | $   674,938 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   687,498
  2024-07-31 | $65,222,810 |    0.058 |    0.000 |    0.058 | $  415,015 | $   673,603 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   693,306
  2024-08-31 | $64,545,631 |    0.058 |    0.000 |    0.058 | $  410,763 | $   677,179 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   692,629
  2024-09-30 | $63,860,137 |    0.058 |    0.000 |    0.058 | $  395,430 | $   685,494 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   685,612
  2024-10-31 | $63,175,800 |    0.058 |    0.000 |    0.058 | $  402,159 | $   684,337 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   691,184
  2024-11-30 | $62,483,194 |    0.058 |    0.000 |    0.058 | $  387,016 | $   692,606 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   684,310
  2024-12-31 | $61,791,624 |    0.058 |    0.000 |    0.058 | $  393,466 | $   691,570 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   689,724
  2025-01-31 | $61,096,383 |    0.058 |    0.000 |    0.058 | $  389,100 | $   695,241 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   689,028
  2025-02-28 | $60,383,863 |    0.058 |    0.000 |    0.058 | $  353,312 | $   712,520 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   670,519
  2025-03-31 | $59,681,380 |    0.058 |    0.000 |    0.058 | $  380,212 | $   702,484 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   687,383
  2025-04-30 | $58,970,748 |    0.058 |    0.000 |    0.058 | $  365,553 | $   710,632 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   680,872
  2025-05-31 | $58,260,840 |    0.058 |    0.000 |    0.058 | $  371,290 | $   709,908 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   685,886
  2025-06-30 | $57,542,834 |    0.058 |    0.000 |    0.058 | $  356,828 | $   718,005 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   679,521
  2025-07-31 | $56,825,424 |    0.058 |    0.000 |    0.058 | $  362,275 | $   717,411 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   684,374
  2025-08-31 | $56,104,205 |    0.058 |    0.000 |    0.058 | $  357,746 | $   721,219 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   683,652
  2025-09-30 | $55,374,967 |    0.058 |    0.000 |    0.058 | $  343,581 | $   729,238 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   677,507
  2025-10-31 | $54,646,126 |    0.058 |    0.000 |    0.058 | $  348,589 | $   728,841 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   682,117
  2025-11-30 | $53,909,321 |    0.058 |    0.000 |    0.058 | $  334,626 | $   736,805 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   676,118
  2025-12-31 | $53,172,778 |    0.058 |    0.000 |    0.058 | $  339,335 | $   736,543 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   680,566
  2026-01-31 | $52,432,325 |    0.058 |    0.000 |    0.058 | $  334,685 | $   740,453 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   679,825
  2026-02-28 | $51,676,050 |    0.058 |    0.000 |    0.058 | $  303,064 | $   756,275 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   664,027
  2026-03-31 | $50,927,888 |    0.058 |    0.000 |    0.058 | $  325,236 | $   748,163 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   678,086
  2026-04-30 | $50,171,906 |    0.058 |    0.000 |    0.058 | $  311,788 | $   755,982 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   672,457
  2026-05-31 | $49,415,837 |    0.058 |    0.000 |    0.058 | $  315,739 | $   756,068 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   676,495
  2026-06-30 | $48,652,010 |    0.058 |    0.000 |    0.058 | $  302,500 | $   763,828 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   671,016
  2026-07-31 | $47,887,952 |    0.058 |    0.000 |    0.058 | $  306,143 | $   764,058 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   674,889
  2026-08-31 | $47,119,839 |    0.058 |    0.000 |    0.058 | $  301,320 | $   768,113 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   674,121
  2026-09-30 | $46,344,060 |    0.058 |    0.000 |    0.058 | $  288,398 | $   775,779 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   668,865
  2026-10-31 | $45,567,830 |    0.058 |    0.000 |    0.058 | $  291,572 | $   776,230 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   672,489
  2026-11-30 | $44,783,999 |    0.058 |    0.000 |    0.058 | $  278,865 | $   783,831 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   667,384
  2026-12-31 | $43,999,568 |    0.058 |    0.000 |    0.058 | $  281,723 | $   784,431 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   670,842
  2027-01-31 | $43,210,973 |    0.058 |    0.000 |    0.058 | $  276,770 | $   788,595 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   670,053
  2027-02-28 | $42,408,215 |    0.058 |    0.000 |    0.058 | $  249,584 | $   802,757 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   657,029
  2027-03-31 | $41,611,413 |    0.058 |    0.000 |    0.058 | $  266,724 | $   796,802 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   668,213
  2027-04-30 | $40,807,180 |    0.058 |    0.000 |    0.058 | $  254,564 | $   804,233 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   663,485
  2027-05-31 | $40,001,959 |    0.058 |    0.000 |    0.058 | $  256,615 | $   805,221 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   666,523
  2027-06-30 | $39,189,378 |    0.058 |    0.000 |    0.058 | $  244,679 | $   812,581 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   661,948
