================================================================================
LOAN CASHFLOW ANALYSIS: PORT_005
Generated: 2025-09-03 01:55:19
================================================================================
Borrower: Titan Mining SA
Sector: Materials | Geography: US
Principal: $75,000,000
Rate Type: fixed
Fixed Rate: 6.25%
Credit Rating: BB-
Default Probability: 3.50%
LTV: 70.0% | DSCR: 1.40x
Prepayment Penalty: 1.50%
Seniority: Senior
Collateral: Unsecured

PORTFOLIO METRICS:
IRR (base): 6.88%
IRR (adjusted): 5.50%
MOIC: 1.280x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2023-01-31 | $75,000,000 |    0.062 |    0.000 |    0.062 | $        0 | $-75,000,000 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $-75,395,312
  2023-02-28 | $75,000,000 |    0.062 |    0.000 |    0.062 | $  359,589 | $         0 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   -35,723
  2023-03-31 | $75,000,000 |    0.062 |    0.000 |    0.062 | $  398,116 | $         0 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $     2,804
  2023-04-30 | $75,000,000 |    0.062 |    0.000 |    0.062 | $  385,274 | $         0 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   -10,039
  2023-05-31 | $74,374,199 |    0.062 |    0.000 |    0.062 | $  398,116 | $   625,801 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   628,605
  2023-06-30 | $73,739,786 |    0.062 |    0.000 |    0.062 | $  382,059 | $   634,413 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   621,160
  2023-07-31 | $73,107,369 |    0.062 |    0.000 |    0.062 | $  391,427 | $   632,417 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   628,531
  2023-08-31 | $72,471,595 |    0.062 |    0.000 |    0.062 | $  388,070 | $   635,774 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   628,531
  2023-09-30 | $71,827,262 |    0.062 |    0.000 |    0.062 | $  372,286 | $   644,333 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   621,306
  2023-10-31 | $71,184,766 |    0.062 |    0.000 |    0.062 | $  381,275 | $   642,495 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   628,458
  2023-11-30 | $70,533,749 |    0.062 |    0.000 |    0.062 | $  365,675 | $   651,017 | $  312,500 | $    4,688 | $   218,750 | $  131,250 | $   621,380
