================================================================================
LOAN CASHFLOW ANALYSIS: PORT_001
Generated: 2025-09-03 01:55:19
================================================================================
Borrower: Zeta Industrials plc
Sector: Industrials | Geography: UK
Principal: $55,000,000
Rate Type: fixed
Fixed Rate: 6.88%
Credit Rating: BB-
Default Probability: 3.50%
LTV: 70.0% | DSCR: 1.40x
Prepayment Penalty: 1.50%
Seniority: Subordinated
Collateral: Machinery

PORTFOLIO METRICS:
IRR (base): 7.56%
IRR (adjusted): 6.05%
MOIC: 1.271x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2023-01-31 | $55,000,000 |    0.064 |    0.000 |    0.064 | $   55,000 | $-55,000,000 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $-55,234,896
  2023-02-28 | $55,000,000 |    0.064 |    0.000 |    0.064 | $  345,068 | $         0 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $    55,173
  2023-03-31 | $55,000,000 |    0.064 |    0.000 |    0.064 | $  376,147 | $         0 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $    86,251
  2023-04-30 | $55,000,000 |    0.064 |    0.000 |    0.064 | $  365,788 | $         0 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $    75,892
  2023-05-31 | $54,350,425 |    0.064 |    0.000 |    0.064 | $  375,498 | $   649,575 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   735,177
  2023-06-30 | $53,692,674 |    0.064 |    0.000 |    0.064 | $  360,810 | $   657,751 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   728,665
  2023-07-31 | $53,035,545 |    0.064 |    0.000 |    0.064 | $  366,549 | $   657,129 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   733,783
  2023-08-31 | $52,374,579 |    0.064 |    0.000 |    0.064 | $  362,051 | $   660,966 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   733,122
  2023-09-30 | $51,705,505 |    0.064 |    0.000 |    0.064 | $  347,658 | $   669,074 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   726,836
  2023-10-31 | $51,036,852 |    0.064 |    0.000 |    0.064 | $  352,947 | $   668,653 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   731,704
  2023-11-30 | $50,360,140 |    0.064 |    0.000 |    0.064 | $  338,753 | $   676,712 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   725,570
  2023-12-31 | $49,683,712 |    0.064 |    0.000 |    0.064 | $  343,739 | $   676,428 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   730,271
  2024-01-31 | $49,003,334 |    0.064 |    0.000 |    0.064 | $  339,109 | $   680,378 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   729,591
  2024-02-29 | $48,310,941 |    0.064 |    0.000 |    0.064 | $  315,983 | $   692,392 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   718,480
  2024-03-31 | $47,622,709 |    0.064 |    0.000 |    0.064 | $  329,712 | $   688,232 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   728,048
  2024-04-30 | $46,926,545 |    0.064 |    0.000 |    0.064 | $  316,027 | $   696,164 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   722,296
  2024-05-31 | $46,230,310 |    0.064 |    0.000 |    0.064 | $  320,236 | $   696,235 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   726,575
  2024-06-30 | $45,526,198 |    0.064 |    0.000 |    0.064 | $  306,759 | $   704,113 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   720,976
  2024-07-31 | $44,821,867 |    0.064 |    0.000 |    0.064 | $  310,651 | $   704,330 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   725,085
  2024-08-31 | $44,113,425 |    0.064 |    0.000 |    0.064 | $  305,830 | $   708,443 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   724,377
  2024-09-30 | $43,397,188 |    0.064 |    0.000 |    0.064 | $  292,668 | $   716,237 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   719,009
  2024-10-31 | $42,680,508 |    0.064 |    0.000 |    0.064 | $  296,078 | $   716,680 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   722,862
  2024-11-30 | $41,956,092 |    0.064 |    0.000 |    0.064 | $  283,130 | $   724,416 | $  229,167 | $    3,437 | $   160,417 | $   96,250 | $   717,650
