================================================================================
LOAN CASHFLOW ANALYSIS: PORT_004
Generated: 2025-09-03 01:55:19
================================================================================
Borrower: Nimbus Retail Group
Sector: Retail (General) | Geography: US
Principal: $60,000,000
Rate Type: fixed
Fixed Rate: 6.75%
Credit Rating: BB-
Default Probability: 5.30%
LTV: 70.0% | DSCR: 1.40x
Prepayment Penalty: 1.50%
Seniority: Senior
Collateral: General Assets

PORTFOLIO METRICS:
IRR (base): 7.43%
IRR (adjusted): 5.94%
MOIC: 1.312x

================================================================================
DETAILED CASHFLOW SCHEDULE
========================================================================================================================
        Date |  Outstanding |  BaseRate |   Spread |    AllIn |   Interest |  Principal |  PrepayAmt |  PrepayPen | DefaultLoss |   Recovery |      NetCF
------------------------------------------------------------------------------------------------------------------------
  2023-01-31 | $60,000,000 |    0.062 |    0.000 |    0.062 | $   60,000 | $-60,000,000 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $-60,292,250
  2023-02-28 | $60,000,000 |    0.062 |    0.000 |    0.062 | $  370,685 | $         0 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $    18,435
  2023-03-31 | $60,000,000 |    0.062 |    0.000 |    0.062 | $  403,973 | $         0 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $    51,723
  2023-04-30 | $60,000,000 |    0.062 |    0.000 |    0.062 | $  392,877 | $         0 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $    40,627
  2023-05-31 | $59,415,899 |    0.062 |    0.000 |    0.062 | $  403,389 | $   584,101 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   635,240
  2023-06-30 | $58,823,841 |    0.062 |    0.000 |    0.062 | $  388,460 | $   592,058 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   628,268
  2023-07-31 | $58,233,070 |    0.062 |    0.000 |    0.062 | $  395,463 | $   590,771 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   633,984
  2023-08-31 | $57,638,912 |    0.062 |    0.000 |    0.062 | $  391,482 | $   594,158 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   633,390
  2023-09-30 | $57,036,850 |    0.062 |    0.000 |    0.062 | $  376,814 | $   602,061 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   626,626
  2023-10-31 | $56,435,908 |    0.062 |    0.000 |    0.062 | $  383,421 | $   600,943 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   632,114
  2023-11-30 | $55,827,099 |    0.062 |    0.000 |    0.062 | $  368,930 | $   608,808 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   625,489
  2023-12-31 | $55,219,295 |    0.062 |    0.000 |    0.062 | $  375,269 | $   607,805 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   630,824
  2024-01-31 | $54,608,006 |    0.062 |    0.000 |    0.062 | $  371,173 | $   611,289 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   630,212
  2024-02-29 | $53,984,585 |    0.062 |    0.000 |    0.062 | $  346,848 | $   623,420 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   618,018
  2024-03-31 | $53,366,366 |    0.062 |    0.000 |    0.062 | $  362,853 | $   618,219 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   628,823
  2024-04-30 | $52,740,382 |    0.062 |    0.000 |    0.062 | $  348,814 | $   625,984 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   622,548
  2024-05-31 | $52,115,104 |    0.062 |    0.000 |    0.062 | $  354,469 | $   625,278 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   627,497
  2024-06-30 | $51,482,104 |    0.062 |    0.000 |    0.062 | $  340,614 | $   633,000 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   621,364
  2024-07-31 | $50,849,687 |    0.062 |    0.000 |    0.062 | $  345,990 | $   632,417 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   626,157
  2024-08-31 | $50,213,645 |    0.062 |    0.000 |    0.062 | $  341,729 | $   636,042 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   625,521
  2024-09-30 | $49,569,947 |    0.062 |    0.000 |    0.062 | $  328,152 | $   643,698 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   619,601
  2024-10-31 | $48,926,643 |    0.062 |    0.000 |    0.062 | $  333,105 | $   643,304 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   624,159
  2024-11-30 | $48,275,730 |    0.062 |    0.000 |    0.062 | $  319,718 | $   650,913 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   618,381
  2024-12-31 | $47,625,081 |    0.062 |    0.000 |    0.062 | $  324,384 | $   650,648 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   622,782
  2025-01-31 | $46,970,703 |    0.062 |    0.000 |    0.062 | $  319,999 | $   654,378 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   622,128
  2025-02-28 | $46,301,171 |    0.062 |    0.000 |    0.062 | $  289,519 | $   669,532 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   606,801
  2025-03-31 | $45,639,431 |    0.062 |    0.000 |    0.062 | $  311,078 | $   661,740 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   620,568
  2025-04-30 | $44,970,207 |    0.062 |    0.000 |    0.062 | $  298,175 | $   669,224 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   615,150
  2025-05-31 | $44,300,913 |    0.062 |    0.000 |    0.062 | $  302,110 | $   669,294 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   619,154
  2025-06-30 | $43,624,187 |    0.062 |    0.000 |    0.062 | $  289,403 | $   676,726 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   613,879
  2025-07-31 | $42,947,253 |    0.062 |    0.000 |    0.062 | $  293,039 | $   676,934 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   617,724
  2025-08-31 | $42,266,438 |    0.062 |    0.000 |    0.062 | $  288,478 | $   680,815 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   617,043
  2025-09-30 | $41,578,272 |    0.062 |    0.000 |    0.062 | $  276,070 | $   688,166 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   611,986
  2025-10-31 | $40,889,685 |    0.062 |    0.000 |    0.062 | $  279,253 | $   688,586 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   615,589
  2025-11-30 | $40,193,805 |    0.062 |    0.000 |    0.062 | $  267,048 | $   695,881 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   610,678
  2025-12-31 | $39,497,358 |    0.062 |    0.000 |    0.062 | $  269,923 | $   696,446 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   614,120
  2026-01-31 | $38,796,920 |    0.062 |    0.000 |    0.062 | $  265,230 | $   700,439 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   613,419
  2026-02-28 | $38,082,861 |    0.062 |    0.000 |    0.062 | $  238,976 | $   714,059 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   600,786
  2026-03-31 | $37,374,546 |    0.062 |    0.000 |    0.062 | $  255,699 | $   708,314 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   611,763
  2026-04-30 | $36,659,088 |    0.062 |    0.000 |    0.062 | $  244,011 | $   715,459 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   607,220
  2026-05-31 | $35,942,689 |    0.062 |    0.000 |    0.062 | $  246,105 | $   716,399 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   610,253
  2026-06-30 | $35,219,209 |    0.062 |    0.000 |    0.062 | $  234,627 | $   723,480 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   605,858
  2026-07-31 | $34,494,634 |    0.062 |    0.000 |    0.062 | $  236,402 | $   724,575 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   608,727
  2026-08-31 | $33,765,905 |    0.062 |    0.000 |    0.062 | $  231,519 | $   728,729 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   607,998
  2026-09-30 | $33,030,191 |    0.062 |    0.000 |    0.062 | $  220,362 | $   735,713 | $  250,000 | $    3,750 | $   265,000 | $  159,000 | $   603,825
